goodsSn,상품명,정가,판매가,브랜드,대분류,중분류,썸네일URL,상품URL
P200165385,마가리트 3시트 w3310 패브릭 소파(4인용),5280000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165385/GM43266527_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165385
P200165386,아르베(ARBRE) w2140 패브릭 소파(3인용),3290000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165386/GM43241713_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165386
P200165387,아르베(ARBRE) 1시트 w1170 패브릭 소파(1인용),1980000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165387/GM43249908_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165387
P200165392,베이(Bae) w2110 패브릭 소파(3인용),1740000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165392/GM43255295_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165392
P200165393,베이(Bae) 1시트 w1020 패브릭 소파(1인용),924000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165393/GM43256779_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165393
P200189253,버밀리온 1시트 w980 패브릭 소파(1인용),1890000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200189253/GM43674168_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200189253
P200189309,프레지던스 w3200 가죽 소파(4인용),10660000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200189309/GM43678006_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200189309
P200191349,미키마우스 1시트 w890 패브릭 소파(1인용),1670000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200191349/GM43720616_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200191349
P200194552,룬드 원목 스툴,315000,,리바트 마이스터 컬렉션,화장대/거울/스툴,,https://static.hyundailivart.co.kr/upload_mall/goods/P200194552/GM43802619_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200194552
P200191352,미키마우스 1인 패브릭 소파 리본 쿠션,71000,,리바트 마이스터 컬렉션,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200191352/GM43720635_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200191352
P200198883,플리츠 2시트 w3000 세미에닐린 가죽 소파 (4인용),6300000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198883/GM43987294_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198883
P200198484,세렌 2시트 w3100 패브릭 소파 일반형(4인용),3090000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198484/GM43950868_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198484
P200198241,세렌 2시트 w3520 패브릭 소파 카우치형(4인용),3480000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198241/GM43942574_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198241
P200189315,프레지던스 1시트 w1065 패브릭 소파 Ⅰ 등받이 일체형(1인용),1340000,,리바트 마이스터 컬렉션,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200189315/GM43678036_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200189315
P200187605,[클리어런스] 그래비티 3시트 w2805 가죽 소파(4인용),17410001262500,27,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187605/GM43615079_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187605
P200187602,[클리어런스] 코트니 2시트 w2120 가죽 소파(3인용),1271000897700,29,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187602/GM43616190_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187602
P200187908,[클리어런스] 네오 뉴탐 1시트 w760 패브릭 소파(1인용),365000291600,20,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187908/GM43638580_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187908
P200195308,카모아 3시트 w2950 패브릭 슬라이딩 리클라이너 소파(4인용),28900002745000,5,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195308/GM43830148_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195308
P200092739,[클리어런스] 로데 2시트 w1970 패브릭 소파(3인용),585000448400,23,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200092739/GM41924557_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200092739
P200184737,[클리어런스] 마카다미아 3시트 w3380 패브릭 소파 카우치형(4인용),16680001167500,30,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200184737/GM43544343_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200184737
P200183507,[클리어런스] 스모어 3시트 w2800 패브릭 소파(4인용),1134000845500,25,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200183507/GM43531685_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200183507
P200134639,[클리어런스] 오브니 3시트 w2950 패브릭 소파 와이드형(4인용),16780001450600,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200134639/GM43588581_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134639
P100034403,브루트 3시트 w2600 가죽 소파(4인용),16980001545000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P100034403/GM41153853_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P100034403
P200202912,카모아 3시트 w2950 가죽 슬라이딩 리클라이너 소파(4인용),39900003790000,5,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200202912/GM44077373_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200202912
P200184736,[클리어런스] 마카다미아 2시트 w2480 패브릭 소파 카우치형(3인용),1217000850200,30,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200184736/GM43544333_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200184736
P200196357,그란디오소 프리모 3시트 w2795 가죽소파(4인용),3090000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196357/GM43863587_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196357
P200187608,[클리어런스] 그래비티 2시트 w2080 가죽 소파(3인용),1340000970900,28,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187608/GM43635180_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187608
P200089504,리르 3시트 w3000 가죽 소파 일반형(4인용),24580002237000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200089504/GM41839529_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200089504
P200183505,[클리어런스] 스모어 2시트 w2120 패브릭 소파(3인용),834000621300,26,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200183505/GM43531543_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200183505
P200089505,리르 3시트 w2600 가죽 소파 컴팩트형(4인용),21170001926000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200089505/GM41839755_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200089505
P200061933,로이머 3시트 w2400 패브릭 리클라이너 소파 양면형(3.5인용),2798000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200061933/GM41184104_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200061933
P200198067,카모아 2시트 w2560 패브릭 슬라이딩 리클라이너 소파(3.5인용),24500002327000,5,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198067/GM43939309_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198067
P200187860,더 마제스 3시트 w3280 가죽 리클라이너 소파 홈바형(4인용),4428000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187860/GM43933501_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187860
P200168513,[클리어런스] 몰리세 3시트 w2700 패브릭 리클라이너 소파(4인용),22660002006400,11,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P100034262/GM40376508_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200168513
P200196337,미유모어 3시트 w2500 가죽 리클라이너 소파 일면형 시트렌치 소프트 샌드(3.5인용),2250000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196337/GM43878146_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196337
P200180915,[클리어런스] 캐슈넛 2시트 w2800 패브릭 리클라이너 소파 일면형(4인용),18100001300500,28,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200180915/GM43624723_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200180915
P200183506,[클리어런스] 스모어 2시트 w2520 패브릭 소파(3.5인용),994000741000,25,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200183506/GM43531601_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200183506
P200187863,더 마제스 3시트 w2930 가죽 리클라이너 소파(4인용),3850000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187863/GM43637392_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187863
P200198701,NEW온드 2시트 w2400 패브릭 소파(3인용),1210000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198701/GM43963766_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198701
P200196333,미유모어 3시트 w2500 가죽 소파 시트렌치 소프트 샌드(3.5인용),1950000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196333/GM43877995_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196333
P200061876,[클리어런스] 몰리세 2시트 w1900 가죽 리클라이너 소파(3인용),20250001750800,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200061876/GM41196941_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200061876
P200187890,[클리어런스] 네오 뉴탐 3시트 w1950 패브릭 소파(3인용),828000662100,20,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187890/GM43668318_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187890
P200116392,띠에르노 3시트 w2890 가죽 소파(4인용),39360003542000,10,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200116392/GM42343325_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200116392
P200181188,[클리어런스] 아일레 w2110 패브릭 소파(3인용),1090000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200181188/GM43486475_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200181188
P200134640,[클리어런스] 오브니 2시트 w2100 패브릭 소파(3인용),12420001073500,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200134640/GM43588546_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134640
