goodsSn,상품명,정가,판매가,브랜드,대분류,중분류,배송유형,배송료,배송기간,사다리차_비용규정,직접운반_규정,현장설치_추가작업비,교환반품_배송비,교환반품_신청기간_조건,옵션목록,옵션별가격,썸네일URL,상품URL
P200165385,마가리트 3시트 w3310 패브릭 소파(4인용),5280000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),소프트 샌드 | 프로그피시,"마가리트 4인 패브릭 소파 자이언트 프로그피시: 5,280,000원 | 마가리트 4인 패브릭 소파 자이언트 소프트 샌드: 5,280,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200165385/GM43266527_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165385
P200165386,아르베(ARBRE) w2140 패브릭 소파(3인용),3290000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165386/GM43241713_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165386
P200165387,아르베(ARBRE) 1시트 w1170 패브릭 소파(1인용),1980000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165387/GM43249908_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165387
P200165392,베이(Bae) w2110 패브릭 소파(3인용),1740000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165392/GM43255295_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165392
P200165393,베이(Bae) 1시트 w1020 패브릭 소파(1인용),924000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200165393/GM43256779_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200165393
P200189253,버밀리온 1시트 w980 패브릭 소파(1인용),1890000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200189253/GM43674168_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200189253
P200189309,프레지던스 w3200 가죽 소파(4인용),10660000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200189309/GM43678006_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200189309
P200191349,미키마우스 1시트 w890 패브릭 소파(1인용),1670000,,리바트 마이스터 컬렉션,마이스터 컬렉션,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),네이비 | 아이보리,"미키마우스 1인 패브릭 소파 아이보리: 1,670,000원 | 미키마우스 1인 패브릭 소파 네이비: 1,670,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200191349/GM43720616_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200191349
P200194552,룬드 원목 스툴,315000,,리바트 마이스터 컬렉션,화장대/거울/스툴,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200194552/GM43802619_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200194552
P200191352,미키마우스 1인 패브릭 소파 리본 쿠션,71000,,리바트 마이스터 컬렉션,소파,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),더유닛/모듈 소파 추가 연결 시 끝쪽 1.6만원 / 중간 일반형 2.2만원 / 리클라이너형 2.7만원 현장 작업비,"38,000원 (1인/오토만) ~ 76,000원 (4인 이상 소파)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),네이비 | 아이보리,"미키마우스 1인 패브릭 소파 리본 쿠션 아이보리: 71,000원 | 미키마우스 1인 패브릭 소파 리본 쿠션 네이비: 71,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200191352/GM43720635_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200191352
